    <meta name="viewport" content="width=device-width, initial-scale=0.9">
湖南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225726/index.m3u8
浙江卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225727/index.m3u8
深圳卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225728/index.m3u8
湖北卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225729/index.m3u8
广东卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225731/index.m3u8
山东卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225733/index.m3u8
安徽卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225739/index.m3u8
江西卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225740/index.m3u8
天津卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225742/index.m3u8
东南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225745/index.m3u8
辽宁卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225747/index.m3u8
康巴卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225773/index.m3u8
厦门卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226008/index.m3u8
内蒙古卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226011/index.m3u8
吉林卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226082/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226149/index.m3u8
广西卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226084/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226130/index.m3u8
西藏卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226012/index.m3u8
陕西卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226086/index.m3u8
新疆卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226088/index.m3u8
甘肃卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226090/index.m3u8
宁夏卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226092/index.m3u8
青海卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226105/index.m3u8
河北卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226107/index.m3u8
10,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226109/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226151/index.m3u8
兵团卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226111/index.m3u8
山西卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226113/index.m3u8
河南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226132/index.m3u8
四川卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226152/index.m3u8
重庆卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226171/index.m3u8
贵州卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226173/index.m3u8
五星体育,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225732/index.m3u8
第一财经,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225737/index.m3u8
东方影视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225744/index.m3u8
金色学堂,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225748/index.m3u8
都市都市,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225749/index.m3u8
都市剧场,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225762/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226155/index.m3u8
动漫秀场,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225764/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226138/index.m3u8
不知道,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225767/index.m3u8
生活时尚,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225768/index.m3u8
欢笑剧场,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225771/index.m3u8
CETV1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225775/index.m3u8
法治天地,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225994/index.m3u8
CGTN,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226016/index.m3u8
少儿频道,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226019/index.m3u8
卡通动画,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226021/index.m3u8
86,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226050/index.m3u8
87,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226069/index.m3u8
金鹰卡通,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226094/index.m3u8
动画,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226102/index.m3u8
乐游,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226115/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226157/index.m3u8
晴彩竞技,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226116/index.m3u8
游戏风云,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226117/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226140/index.m3u8
睛彩篮球,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226118/index.m3u8
咪咕体育111,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226123/index.m3u8
东方财经,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226134/index.m3u8
新闻综合,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226136/index.m3u8
睛彩广场舞,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226139/index.m3u8
CETV4,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226153/index.m3u8
哈哈炫动,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226161/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226175/index.m3u8





🇨🇳IPV6央卫2,#genre#
CCTV1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV2,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV3,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV4,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
CCTV5,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8
CCTV6,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8
CCTV7,http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8
CCTV8,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8
CCTV9,http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8
CCTV10,http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8
CCTV11,http://iptv.huuc.edu.cn/hls/cctv11hd.m3u8
CCTV12,http://iptv.huuc.edu.cn/hls/cctv12hd.m3u8
CCTV13,http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8
CCTV14,http://iptv.huuc.edu.cn/hls/cctv14hd.m3u8
CGTN,http://iptv.huuc.edu.cn/hls/cgtnhd.m3u8
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8

北京卫视,http://iptv.huuc.edu.cn/hls/btv1hd.m3u8
北京文艺,http://iptv.huuc.edu.cn/hls/btv2hd.m3u8
北京体育,http://iptv.huuc.edu.cn/hls/btv6hd.m3u8
北京影视,http://iptv.huuc.edu.cn/hls/btv4hd.m3u8
北京新闻,http://iptv.huuc.edu.cn/hls/btv9hd.m3u8
北京纪实,http://iptv.huuc.edu.cn/hls/btv11hd.m3u8
湖南卫视,http://iptv.huuc.edu.cn/hls/hunanhd.m3u8
浙江卫视,http://iptv.huuc.edu.cn/hls/zjhd.m3u8
江苏卫视,http://iptv.huuc.edu.cn/hls/jshd.m3u8
东方卫视,http://iptv.huuc.edu.cn/hls/dfhd.m3u8
安徽卫视,http://iptv.huuc.edu.cn/hls/ahhd.m3u8
黑龙江卫视,http://iptv.huuc.edu.cn/hls/hljhd.m3u8
辽宁卫视,http://iptv.huuc.edu.cn/hls/lnhd.m3u8
深圳卫视,http://iptv.huuc.edu.cn/hls/szhd.m3u8
广东卫视,http://iptv.huuc.edu.cn/hls/gdhd.m3u8
天津卫视,http://iptv.huuc.edu.cn/hls/tjhd.m3u8
湖北卫视,http://iptv.huuc.edu.cn/hls/hbhd.m3u8
山东卫视,http://iptv.huuc.edu.cn/hls/sdhd.m3u8
重庆卫视,http://iptv.huuc.edu.cn/hls/cqhd.m3u8
上海纪实,http://iptv.huuc.edu.cn/hls/docuchina.m3u8
四川卫视,http://iptv.huuc.edu.cn/hls/schd.m3u8
金鹰纪实,http://iptv.huuc.edu.cn/hls/gedocu.m3u8
东南卫视,http://iptv.huuc.edu.cn/hls/dnhd.m3u8
河北卫视,http://iptv.huuc.edu.cn/hls/hebhd.m3u8
江西卫视,http://iptv.huuc.edu.cn/hls/jxhd.m3u8

浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经视,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8




🇨🇳央视IPV4,#genre#
CHC家庭影院,http://148.135.93.213/live.php?id=CHC家庭影院
CHC动作电影,http://101.35.240.114:88/live.php?id=CHC动作电影
CHC影迷电影,http://148.135.93.213/live.php?id=CHC影迷电影
CCTV1,http://101.35.240.114:88/live.php?id=CCTV1
CCTV2,http://148.135.93.213/live.php?id=CCTV2
CCTV3,http://101.35.240.114:88/live.php?id=CCTV3
CCTV4,http://148.135.93.213/live.php?id=CCTV4
CCTV5,http://101.35.240.114:88/live.php?id=CCTV5
CCTV5+,http://148.135.93.213/live.php?id=CCTV5p
CCTV6,http://101.35.240.114:88/live.php?id=CCTV6
CCTV7,http://148.135.93.213/live.php?id=CCTV7
CCTV8,http://101.35.240.114:88/live.php?id=CCTV8
CCTV9,http://148.135.93.213/live.php?id=CCTV9
CCTV10,http://101.35.240.114:88/live.php?id=CCTV10
CCTV11,http://148.135.93.213/live.php?id=CCTV11
CCTV12,http://101.35.240.114:88/live.php?id=CCTV12
CCTV13,http://148.135.93.213/live.php?id=CCTV13
CCTV14,http://101.35.240.114:88/live.php?id=CCTV14
CCTV15,http://148.135.93.213/live.php?id=CCTV15
CCTV16,http://101.35.240.114:88/live.php?id=CCTV16
CCTV17,http://148.135.93.213/live.php?id=CCTV17
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8

重温经典,http://101.35.240.114:88/live.php?id=重温经典
翡翠台,http://101.35.240.114:88/live.php?id=翡翠台
五星体育,http://101.35.240.114:88/live.php?id=五星体育
凤凰资讯,http://101.35.240.114:88/phenix.php?id=fhzx
凤凰中文,http://101.35.240.114:88/phenix.php?id=fhzw
凤凰香港,http://101.35.240.114:88/phenix.php?id=fhhk
香港卫视,http://101.35.240.114:88/live.php?id=香港卫视
湖南卫视,http://101.35.240.114:88/live.php?id=湖南卫视
北京卫视,http://101.35.240.114:88/live.php?id=北京卫视
深圳卫视,http://101.35.240.114:88/live.php?id=深圳卫视
浙江卫视,http://101.35.240.114:88/live.php?id=浙江卫视
江苏卫视,http://101.35.240.114:88/live.php?id=江苏卫视
陕西卫视,http://101.35.240.114:88/live.php?id=陕西卫视
湖北卫视,http://101.35.240.114:88/live.php?id=湖北卫视
内蒙古卫视,http://101.35.240.114:88/live.php?id=内蒙古卫视
江西卫视,http://101.35.240.114:88/live.php?id=江西卫视
广东卫视,http://101.35.240.114:88/live.php?id=广东卫视
东方卫视,http://101.35.240.114:88/live.php?id=东方卫视
西藏卫视,http://101.35.240.114:88/live.php?id=西藏卫视
新疆卫视,http://101.35.240.114:88/live.php?id=新疆卫视
青海卫视,http://148.135.93.213/live.php?id=青海卫视
东南卫视,http://148.135.93.213/live.php?id=东南卫视
吉林卫视,http://148.135.93.213/live.php?id=吉林卫视
四川卫视,http://148.135.93.213/live.php?id=四川卫视
天津卫视,http://148.135.93.213/live.php?id=天津卫视
安徽卫视,http://101.35.240.114:88/live.php?id=安徽卫视
山东卫视,http://148.135.93.213/live.php?id=山东卫视
山西卫视,http://148.135.93.213/live.php?id=山西卫视
广西卫视,http://148.135.93.213/live.php?id=广西卫视
河北卫视,http://148.135.93.213/live.php?id=河北卫视
河南卫视,http://148.135.93.213/live.php?id=河南卫视
甘肃卫视,http://148.135.93.213/live.php?id=甘肃卫视
贵州卫视,http://148.135.93.213/live.php?id=贵州卫视
辽宁卫视,http://148.135.93.213/live.php?id=辽宁卫视
重庆卫视,http://148.135.93.213/live.php?id=重庆卫视
黑龙江卫视,http://148.135.93.213/live.php?id=黑龙江卫视
海南卫视,http://148.135.93.213/live.php?id=海南卫视
大湾区卫视,http://148.135.93.213/live.php?id=大湾区卫视

北京卫视4K,http://101.35.240.114:88/live.php?id=北京卫视
深圳卫视4K,http://101.35.240.114:88/live.php?id=深圳卫视
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
北京纪实科教,http://101.35.240.114:88/brtv8k.php




🇨🇳央卫频道,#genre#
CCTV-01,http://go.bkpcp.top/mg/cctv1
CCTV-02,http://go.bkpcp.top/mg/cctv2
CCTV-03,http://go.bkpcp.top/mg/cctv3
CCTV-04,http://go.bkpcp.top/mg/cctv4
CCTV-05,http://go.bkpcp.top/mg/cctv5
CCTV-5+,http://go.bkpcp.top/mg/cctv5p
CCTV-06,http://go.bkpcp.top/mg/cctv6
CCTV-07,http://go.bkpcp.top/mg/cctv7
CCTV-08,http://go.bkpcp.top/mg/cctv8
CCTV-09,http://go.bkpcp.top/mg/cctv9
CCTV-10,http://go.bkpcp.top/mg/cctv10
CCTV-11,http://go.bkpcp.top/mg/cctv11
CCTV-12,http://go.bkpcp.top/mg/cctv12
CCTV-13,http://go.bkpcp.top/mg/cctv13
CCTV-14,http://go.bkpcp.top/mg/cctv14
CCTV-15,http://go.bkpcp.top/mg/cctv15
CCTV-16,http://go.bkpcp.top/mg/cctv16
CCTV-17,http://go.bkpcp.top/mg/cctv17
cct4欧洲,http://go.bkpcp.top/mg/cctv4o
cct4美洲,http://go.bkpcp.top/mg/cctv4m
CGTN-西,http://go.bkpcp.top/mg/cgtne
CGTN-阿,http://go.bkpcp.top/mg/cgtna
CGTN-法,http://go.bkpcp.top/mg/cgtnf
北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws
浙江卫视,http://go.bkpcp.top/mg/zjws
江苏卫视,http://go.bkpcp.top/mg/jsws
湖南卫视,http://go.bkpcp.top/mg/hunws
广东卫视,http://go.bkpcp.top/mg/gdws
深圳卫视咪4k,http://go.bkpcp.top/mg/szws
山东卫视,http://go.bkpcp.top/mg/sdws
河南卫视,http://go.bkpcp.top/mg/hnws
江西卫视,http://go.bkpcp.top/mg/jxws
湖北卫视,http://go.bkpcp.top/mg/hubws
海南卫视,http://go.bkpcp.top/mg/hinws
陕西卫视,http://go.bkpcp.top/mg/sxws
兵团卫视,http://go.bkpcp.top/mg/btws
黑龙江视,http://go.bkpcp.top/mg/hljws




🇨🇳央卫频道,#genre#

CCTV-1综合,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV-2财经,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV-3综艺,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV-4中文国际,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV-5体育,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV-5+体育赛事,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV-6电影,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV-7国防军事,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV-8电视剧,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV-9纪录,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV-10科教,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV-11戏曲,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV-12社会与法,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV-13新闻,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV-14少儿,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14
CCTV-15音乐,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
CCTV-16奥运,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
CCTV-17农业农村,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17
CHC家庭影院,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jtyy
CHC动作电影,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dzdy
CHC影迷电影,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ymdy
浙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws
广东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws
江苏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws
东方卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws
陕西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sxws
江西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws
湖北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws
吉林卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws
青海卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=qhws
河南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws
东南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dnws
海南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws
湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws
北京卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws
天津卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws
重庆卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws
黑龙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws
吉林卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws
辽宁卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws
内蒙古卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=nmgws
宁夏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=nxws
甘肃卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gsws
河北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws
山西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sxiws
山东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws
安徽卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ahws
深圳卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws
广西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws
贵州卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws
四川卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws
新疆卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=xjws
西藏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=xzws



🇨🇳央卫频道2,#genre#
CCTV1,http://106.53.99.30/tv/20250717.php?id=0001
CCTV2,http://106.53.99.30/tv/20250717.php?id=0002
CCTV3,http://106.53.99.30/tv/20250717.php?id=0003
CCTV4,http://106.53.99.30/tv/20250717.php?id=0004
CCTV5,http://106.53.99.30/tv/20250717.php?id=0005
CCTV5+,http://106.53.99.30/tv/20250717.php?id=0006
CCTV6,http://106.53.99.30/tv/20250717.php?id=0007
CCTV7,http://106.53.99.30/tv/20250717.php?id=0008
CCTV8,http://106.53.99.30/tv/20250717.php?id=0009
CCTV9,http://106.53.99.30/tv/20250717.php?id=0010
CCTV10,http://106.53.99.30/tv/20250717.php?id=0011
CCTV11,http://106.53.99.30/tv/20250717.php?id=0012
CCTV12,http://106.53.99.30/tv/20250717.php?id=0013
CCTV13,http://106.53.99.30/tv/20250717.php?id=0014
CCTV14,http://106.53.99.30/tv/20250717.php?id=0015
CCTV15,http://106.53.99.30/tv/20250717.php?id=0016
CCTV16,http://106.53.99.30/tv/20250717.php?id=0017
CCTV17,http://106.53.99.30/tv/20250717.php?id=0018
CHC家庭影院,http://106.53.99.30/tv/20250717.php?id=0019
CHC动作电影,http://106.53.99.30/tv/20250717.php?id=0020
CHC影迷电影,http://106.53.99.30/tv/20250717.php?id=0021
凤凰中文,http://106.53.99.30/tv/20250717.php?id=0022
凤凰资讯,http://106.53.99.30/tv/20250717.php?id=0023
凤凰香港,http://106.53.99.30/tv/20250717.php?id=0024
北京卫视,http://106.53.99.30/tv/20250717.php?id=0025
东方卫视,http://106.53.99.30/tv/20250717.php?id=0026
湖南卫视,http://106.53.99.30/tv/20250717.php?id=0027
浙江卫视,http://106.53.99.30/tv/20250717.php?id=0028
江苏卫视,http://106.53.99.30/tv/20250717.php?id=0029
广东卫视,http://106.53.99.30/tv/20250717.php?id=0030
山东卫视,http://106.53.99.30/tv/20250717.php?id=0031
东南卫视,http://106.53.99.30/tv/20250717.php?id=0032
深圳卫视,http://106.53.99.30/tv/20250717.php?id=0033
安徽卫视,http://106.53.99.30/tv/20250717.php?id=0034
湖北卫视,http://106.53.99.30/tv/20250717.php?id=0035
河北卫视,http://106.53.99.30/tv/20250717.php?id=0036
河南卫视,http://106.53.99.30/tv/20250717.php?id=0037
四川卫视,http://106.53.99.30/tv/20250717.php?id=0038
天津卫视,http://106.53.99.30/tv/20250717.php?id=0039
重庆卫视,http://106.53.99.30/tv/20250717.php?id=0040
海南卫视,http://106.53.99.30/tv/20250717.php?id=0041
辽宁卫视,http://106.53.99.30/tv/20250717.php?id=0042
黑龙江卫视,http://106.53.99.30/tv/20250717.php?id=0043
吉林卫视,http://106.53.99.30/tv/20250717.php?id=0044
山西卫视,http://106.53.99.30/tv/20250717.php?id=0045
陕西卫视,http://106.53.99.30/tv/20250717.php?id=0046
广西卫视,http://106.53.99.30/tv/20250717.php?id=0047
江西卫视,http://106.53.99.30/tv/20250717.php?id=0048
贵州卫视,http://106.53.99.30/tv/20250717.php?id=0049
云南卫视,http://106.53.99.30/tv/20250717.php?id=0050
甘肃卫视,http://106.53.99.30/tv/20250717.php?id=0051
宁夏卫视,http://106.53.99.30/tv/20250717.php?id=0052
内蒙古卫视,http://106.53.99.30/tv/20250717.php?id=0053
新疆卫视,http://106.53.99.30/tv/20250717.php?id=0054
西藏卫视,http://106.53.99.30/tv/20250717.php?id=0055
中国教育1,http://106.53.99.30/tv/20250717.php?id=0056
中国教育2,http://106.53.99.30/tv/20250717.php?id=0057
中国教育4,http://106.53.99.30/tv/20250717.php?id=0058
山东教育,http://106.53.99.30/tv/20250717.php?id=0059
哈哈炫动,http://106.53.99.30/tv/20250717.php?id=0060
卡酷少儿,http://106.53.99.30/tv/20250717.php?id=0061
优漫卡通,http://106.53.99.30/tv/20250717.php?id=0062
金鹰卡通,http://106.53.99.30/tv/20250717.php?id=0063

CCTV1综合FHD,http://106.53.99.30/tv/api.php?id=cctv1
CCTV2财经FHD,http://106.53.99.30/tv/api.php?id=cctv2
CCTV7国防军事FHD,http://106.53.99.30/tv/api.php?id=cctv7
